Id,name,sex,urban/rural,income,GPA,parents qualification,average attendance,dropout
35,Emanuel,Male,rural,469697,6.6,illiterate,5,true
36,Marcelline,Female,urban,396627,8.3,Graduate,65,false
37,Germayne,Male,urban,460927,3.4,Graduate,45,true
38,Freda,Female,rural,896273,6.4,illiterate,92,true
39,Benito,Male,rural,243703,8.1,High school,3,true
40,Tore,Male,urban,499207,5.8,High school,78,true
41,Wayne,Male,rural,529027,9.0,illiterate,64,false
42,Gran,Genderfluid,urban,29142,5.7,illiterate,58,false
43,Toddie,Male,rural,221870,5.2,illiterate,72,true
44,Westbrooke,Male,rural,525629,3.2,Graduate,30,false
45,Ardith,Female,rural,665474,2.8,Graduate,74,true
46,Leilah,Female,rural,203528,6.8,illiterate,92,false
47,Beatrice,Female,rural,83419,8.7,Graduate,63,true
48,Josefina,Female,urban,738896,3.6,High school,74,true
49,Reuven,Male,urban,823750,2.9,High school,21,true
50,Burk,Male,rural,567986,0.8,High school,7,false
51,Mommy,Female,urban,480924,6.2,illiterate,11,true
52,Ophelie,Female,rural,61864,3.3,High school,73,false
53,Natale,Male,urban,432130,7.7,illiterate,57,true
54,Roxanna,Female,rural,20327,9.6,Graduate,23,false
55,Osborn,Agender,rural,988162,8.4,High school,25,false
56,Isabel,Female,rural,457779,2.3,High school,42,false
57,Iggy,Male,urban,384751,2.2,illiterate,36,false
58,Marji,Female,urban,343175,2.1,illiterate,65,false
59,Morna,Genderqueer,urban,231484,4.6,High school,76,false
60,Dannye,Female,urban,165186,4.8,High school,3,true
61,Roxanna,Female,rural,482196,6.2,Graduate,64,true
62,Bar,Male,urban,835450,4.7,Graduate,12,true
63,Lefty,Male,urban,362396,8.9,illiterate,54,false
64,Benjy,Male,urban,492011,1.0,Graduate,84,false
65,Shelley,Female,rural,674012,2.6,High school,58,true
66,De,Female,urban,522284,9.9,Graduate,25,true
67,Isis,Female,rural,141953,7.4,illiterate,70,false
68,Lyndel,Female,urban,762876,7.5,illiterate,52,false
69,Cesare,Male,rural,939702,7.3,Graduate,6,true
70,Valentino,Male,urban,127245,5.7,illiterate,15,true
71,David,Genderfluid,rural,552428,9.9,High school,93,false
72,Modesta,Female,rural,139839,6.8,Graduate,94,false
73,Sukey,Female,urban,361562,2.2,High school,33,true
74,Janice,Female,rural,216785,4.9,High school,98,true
75,Cindra,Female,rural,370936,2.5,illiterate,82,true
76,Lucille,Female,rural,117233,5.2,Graduate,87,true
77,Wenda,Genderfluid,urban,783919,7.9,High school,42,true
78,Orin,Male,urban,116029,5.1,Graduate,79,false
79,Heda,Female,rural,351815,7.3,Graduate,13,true
80,Ignatius,Male,rural,595702,5.8,illiterate,12,true
81,Chad,Female,urban,956088,1.2,Graduate,94,true
82,Kimberly,Female,urban,674713,1.3,High school,38,false
83,D'arcy,Male,urban,126659,0.1,High school,26,true
84,Benn,Male,urban,323715,2.2,illiterate,92,true
85,Constanta,Female,urban,895313,8.7,High school,32,true
86,Elie,Female,urban,587885,2.9,illiterate,95,true
87,Karna,Female,urban,20289,0.8,illiterate,27,false
88,Hadria,Female,urban,228511,1.9,Graduate,40,true
89,Tim,Male,rural,135933,1.5,illiterate,27,false
90,Ives,Male,urban,861640,5.5,illiterate,19,false
91,Temp,Male,rural,118370,9.1,High school,97,false
92,Faber,Polygender,urban,359815,1.7,High school,88,true
93,Isac,Male,rural,444042,2.1,Graduate,81,false
94,Barnebas,Male,rural,743595,1.1,Graduate,100,false
95,Lorettalorna,Female,urban,440276,8.6,Graduate,85,true
96,Devonna,Female,rural,615662,8.8,Graduate,46,true
97,Cyndy,Female,urban,158569,1.9,illiterate,23,false
98,Rand,Male,urban,717864,8.7,illiterate,65,false
99,Dorene,Female,urban,722080,8.6,illiterate,36,false
100,Lindsay,Polygender,rural,190751,0.7,High school,82,true
101,Selma,Female,rural,408209,9.6,illiterate,22,true
102,Christan,Female,rural,745585,3.4,Graduate,4,false
103,Zorina,Female,urban,88195,5.3,illiterate,11,false
104,Agustin,Male,rural,325927,0.9,Graduate,78,false
105,Horatio,Non-binary,urban,508968,6.2,High school,84,false
106,Beverley,Female,rural,3585,9.5,illiterate,14,false
107,Robert,Male,rural,38059,5.4,Graduate,95,false
108,Sydney,Female,rural,14298,8.5,High school,22,false
109,Simeon,Male,rural,738755,0.7,Graduate,18,false
110,Valerye,Agender,urban,138662,4.1,Graduate,38,false
111,Leland,Genderfluid,rural,60700,7.6,High school,58,true
112,Calli,Female,rural,323284,5.5,High school,0,true
113,Vale,Male,rural,211716,2.8,High school,56,false
114,Garwin,Male,urban,371944,9.2,Graduate,6,false
115,Ashlie,Female,urban,365834,7.3,illiterate,56,true
116,Salomo,Male,rural,299127,4.3,illiterate,100,true
117,Mead,Female,rural,811451,4.4,Graduate,87,false
118,Lydon,Male,urban,748579,0.8,Graduate,72,true
119,Kial,Female,urban,576250,3.8,illiterate,26,true
120,Megan,Genderfluid,rural,596233,4.2,illiterate,74,true
121,Hildy,Female,rural,129928,6.1,illiterate,27,true
122,Coriss,Female,urban,515462,0.4,High school,52,false
123,Ryann,Female,urban,183723,7.8,illiterate,3,true
124,Con,Female,rural,357136,4.0,illiterate,33,false
125,Alejandra,Female,urban,212009,1.8,illiterate,100,true
126,Wilbert,Male,urban,582250,6.7,Graduate,95,true
127,Turner,Male,urban,20145,2.0,illiterate,23,true
128,Xenia,Female,urban,462257,2.7,High school,86,true
129,Alberta,Female,rural,799269,0.3,High school,2,false
130,Tommi,Female,urban,987463,8.2,illiterate,15,false
131,Feodor,Male,rural,939286,5.1,illiterate,88,true
132,Zebulen,Male,urban,14927,5.6,Graduate,7,true
133,Jodie,Male,rural,801205,2.8,High school,40,false
134,Jamesy,Male,urban,63244,8.6,High school,95,false
135,Kimmie,Female,urban,229262,5.6,Graduate,9,true
136,Mario,Male,urban,355090,3.3,Graduate,53,true
137,Berkie,Male,urban,328993,8.1,Graduate,80,false
138,Betta,Female,urban,588599,7.5,High school,76,false
139,Lyell,Male,urban,502482,7.3,High school,67,false
140,Desmond,Non-binary,urban,120691,8.4,Graduate,64,false
141,Peta,Female,urban,300315,0.4,High school,69,true
142,Biddie,Female,urban,893915,2.3,High school,55,true
143,Carina,Female,urban,724233,4.4,Graduate,3,true
144,Scotty,Male,urban,701480,9.3,High school,23,false
145,Colet,Male,urban,830906,6.7,High school,29,true
146,May,Polygender,rural,3293,8.3,illiterate,59,true
147,Fredericka,Female,urban,556479,0.4,High school,54,true
148,Lay,Genderqueer,urban,124705,0.3,High school,85,true
149,Jeffie,Male,urban,574324,9.5,illiterate,23,false
150,Glori,Female,rural,265228,5.3,illiterate,93,true
151,Quincey,Male,rural,529102,7.9,High school,61,false
152,Quent,Male,urban,88843,5.0,Graduate,27,true
153,Letizia,Agender,urban,643810,8.9,illiterate,60,true
154,Carma,Female,rural,222435,6.6,High school,72,false
155,Germayne,Male,rural,596741,0.6,Graduate,41,true
156,Rick,Male,urban,395820,1.9,illiterate,69,true
157,Kilian,Male,urban,729915,6.1,Graduate,16,true
158,Linn,Male,urban,890220,5.1,Graduate,9,false
159,Fraze,Male,urban,491414,7.5,illiterate,2,true
160,Brandice,Female,rural,95672,4.8,High school,91,false
161,Mommy,Female,urban,70123,1.1,illiterate,18,true
162,Bordy,Male,rural,648260,3.7,Graduate,25,true
163,Casper,Male,urban,10349,5.1,illiterate,30,true
164,Dal,Male,rural,460665,6.3,High school,0,true
165,Maye,Female,rural,257657,6.4,High school,21,true
166,Eolande,Female,urban,195291,2.5,High school,59,false
167,Kenn,Male,rural,895506,3.6,Graduate,44,true
168,Elenore,Female,urban,806898,2.9,illiterate,51,false
169,Christoper,Male,rural,147770,3.6,illiterate,71,false
170,Nanete,Female,rural,828553,8.3,High school,71,true
171,Sophi,Genderfluid,rural,585308,3.9,High school,61,true
172,Zebadiah,Male,urban,490,0.5,Graduate,90,false
173,Petrina,Female,rural,835200,5.3,illiterate,35,false
174,Ellissa,Female,rural,608284,1.8,High school,68,true
175,Carmelia,Female,urban,514870,6.7,illiterate,89,true
176,Janette,Female,urban,489357,0.5,Graduate,32,true
177,Kippie,Male,urban,71848,4.6,Graduate,20,false
178,Bruis,Male,rural,686831,0.8,illiterate,60,false
179,Caesar,Male,rural,79267,4.7,High school,75,false
180,Sallyanne,Female,rural,954740,5.9,Graduate,50,true
181,Karna,Female,rural,699356,4.2,Graduate,97,false
182,Frazer,Male,rural,400683,5.0,Graduate,90,false
183,Rosalinde,Female,rural,87175,2.1,illiterate,47,false
184,Royall,Male,rural,887551,4.4,illiterate,59,true
185,Rogers,Male,urban,80524,4.3,illiterate,58,false
186,Lynette,Female,rural,653017,7.6,Graduate,47,false
187,Frank,Male,urban,847793,2.3,illiterate,23,true
188,Rozele,Female,rural,975953,3.6,Graduate,80,false
189,Coralie,Female,rural,312644,4.1,illiterate,85,false
190,Ethelind,Female,rural,951572,9.7,High school,38,false
191,Goldy,Female,urban,148055,4.6,High school,51,true
192,Jocko,Male,urban,302449,1.0,High school,31,true
193,Jarrid,Male,rural,511946,4.6,High school,45,false
194,Stan,Male,rural,995246,1.7,illiterate,18,false
195,Alyse,Female,rural,923374,1.2,illiterate,13,false
196,Constantine,Male,urban,221312,5.0,Graduate,75,true
197,Kore,Bigender,urban,262170,5.9,Graduate,68,false
198,Heida,Female,rural,450361,6.5,Graduate,34,true
199,Keith,Male,rural,72381,0.1,illiterate,78,true
200,Felicdad,Polygender,urban,303192,3.4,illiterate,66,true
201,Timotheus,Non-binary,rural,767965,7.4,illiterate,68,true
202,Antin,Male,rural,656163,8.9,Graduate,69,false
203,Sorcha,Female,urban,571876,3.9,Graduate,88,false
204,Stephana,Bigender,rural,728311,5.3,illiterate,37,true
205,Deb,Female,urban,565444,3.6,illiterate,79,true
206,Alfy,Female,urban,513304,2.6,Graduate,45,true
207,Jeni,Female,urban,701168,7.3,High school,51,true
208,Corney,Bigender,rural,524776,4.3,illiterate,19,true
209,Jehanna,Genderfluid,rural,665984,0.2,High school,23,false
210,Frasier,Male,rural,836356,8.2,Graduate,75,true
211,Constantine,Female,urban,978052,4.1,illiterate,83,false
212,Artemus,Male,urban,253960,9.9,Graduate,39,false
213,Olenka,Female,urban,83300,0.7,High school,84,false
214,Isabel,Female,urban,892555,7.4,illiterate,34,false
215,Silva,Female,rural,301351,7.5,illiterate,80,true
216,Coralyn,Female,rural,545125,7.4,High school,57,true
217,Torey,Male,rural,464372,7.3,Graduate,44,false
218,Dal,Male,rural,608075,9.3,High school,5,false
219,Eliot,Male,rural,531390,6.1,illiterate,3,false
220,Rafaellle,Male,rural,555185,3.4,Graduate,22,true
221,Alric,Male,rural,822040,8.2,High school,37,false
222,Gerty,Female,rural,649458,9.0,Graduate,36,true
223,Ruthy,Female,rural,670311,5.0,High school,71,false
224,Orsola,Female,rural,619405,1.4,High school,69,true
225,Rosalinda,Female,rural,244130,6.1,Graduate,35,true
226,Amandi,Female,urban,102328,7.5,High school,83,false
227,Amandi,Female,urban,847233,3.5,High school,50,true
228,Cristian,Agender,rural,90242,2.9,Graduate,95,false
229,Sosanna,Female,rural,352087,5.1,illiterate,17,true
230,Richie,Male,rural,533324,2.2,Graduate,76,true
231,Spenser,Male,rural,551434,8.7,Graduate,26,true
232,Case,Male,rural,332215,1.3,High school,39,false
233,Ardis,Female,urban,833501,1.6,illiterate,75,true
234,Celine,Female,rural,127720,3.0,illiterate,56,true
235,Nikki,Female,urban,490849,3.7,Graduate,57,true
236,Jasmine,Female,rural,853659,3.1,Graduate,84,false
237,Tammy,Male,rural,405265,7.5,illiterate,11,true
238,Charline,Female,rural,103896,4.0,High school,42,false
239,Adolphe,Male,rural,916723,3.4,illiterate,10,true
240,Rolph,Male,urban,808015,3.0,Graduate,50,false
241,Zedekiah,Male,urban,574708,5.1,High school,83,true
242,Burch,Male,rural,136587,1.1,illiterate,94,true
243,Urbain,Male,urban,450236,3.8,illiterate,90,false
244,Beatrix,Female,urban,615584,3.9,Graduate,91,true
245,Alfy,Genderfluid,rural,822263,8.0,Graduate,98,false
246,Othello,Male,rural,62184,6.5,Graduate,41,true
247,Odell,Male,rural,890429,0.5,Graduate,74,false
248,Boonie,Male,urban,511722,3.0,Graduate,33,true
249,Marge,Female,rural,719134,4.5,High school,90,false
250,Aundrea,Female,rural,305492,1.4,High school,19,false
251,Lezley,Male,rural,779008,8.8,High school,40,true
252,Lucia,Female,rural,108671,6.4,High school,91,false
253,Jere,Female,urban,780271,9.2,High school,55,false
254,Matilda,Female,rural,53056,4.3,Graduate,59,false
255,Galvin,Male,rural,99753,1.2,illiterate,89,false
256,Marcellus,Male,rural,719493,3.1,illiterate,27,false
257,Janeva,Female,urban,980357,9.9,illiterate,78,false
258,Elysee,Female,rural,351001,6.0,illiterate,39,true
259,Lexine,Female,urban,754573,5.1,High school,45,false
260,Weider,Male,rural,753236,0.1,illiterate,31,false
261,Lolita,Agender,urban,582989,2.4,Graduate,89,true
262,Ilysa,Female,urban,325023,1.8,High school,84,false
263,Giordano,Male,rural,702439,6.4,Graduate,1,true
264,Mohandis,Male,urban,799779,3.6,Graduate,77,false
265,Kerrie,Female,rural,539027,2.2,Graduate,36,true
266,Robinia,Female,rural,803513,7.1,Graduate,97,false
267,Elmo,Male,urban,967872,3.2,High school,9,false
268,Annadiana,Female,rural,32663,3.8,Graduate,22,false
269,Del,Male,urban,702263,9.9,Graduate,51,false
270,Gayle,Male,rural,381946,3.1,illiterate,100,false
271,Bessie,Female,urban,132895,2.6,illiterate,73,true
272,Phillis,Female,rural,735976,0.7,illiterate,95,true
273,Jeffry,Male,urban,420009,2.4,Graduate,8,true
274,Aurelie,Female,urban,223668,1.7,illiterate,93,false
275,Gabi,Male,rural,452750,2.7,Graduate,36,false
276,Jacklyn,Female,rural,643289,1.7,Graduate,93,true
277,Peirce,Male,urban,441623,2.7,High school,73,true
278,Millicent,Agender,rural,594858,2.4,High school,22,true
279,Hestia,Female,rural,806529,1.2,Graduate,26,false
280,Cortney,Female,rural,114753,7.7,illiterate,50,true
281,Hunter,Male,rural,720333,5.2,High school,91,false
282,Dorella,Female,urban,381230,7.7,High school,66,true
283,Isabel,Female,rural,211869,7.1,Graduate,66,true
284,Loree,Female,urban,890683,8.8,Graduate,69,true
285,Aharon,Male,rural,766225,7.3,illiterate,78,false
286,Coretta,Female,urban,585581,7.7,illiterate,15,false
287,Aprilette,Female,rural,555328,6.3,High school,50,true
288,Sapphira,Female,urban,708898,3.7,illiterate,59,true
289,Arch,Genderqueer,rural,266940,9.1,High school,32,false
290,Vick,Male,urban,271861,4.6,High school,37,false
291,Dulcie,Female,urban,152763,6.4,illiterate,34,true
292,Sadye,Bigender,urban,343091,0.7,High school,88,false
293,Austine,Genderfluid,urban,608167,3.7,High school,98,false
294,Travis,Male,rural,524155,6.2,High school,27,false
295,Jamey,Male,rural,720470,6.8,Graduate,31,true
296,Hussein,Male,rural,910251,6.3,Graduate,54,true
297,Yoko,Female,rural,238752,6.7,Graduate,26,true
298,Leonidas,Male,urban,120012,2.0,High school,51,true
299,Maureen,Female,rural,174632,0.2,High school,94,true
300,Tallia,Female,rural,323784,2.9,Graduate,56,false
301,Virge,Male,urban,458751,7.1,Graduate,98,true
302,Thedric,Male,urban,599985,2.4,Graduate,74,true
303,Xenos,Male,urban,966206,2.6,Graduate,45,false
304,Kristi,Female,urban,102041,0.5,illiterate,81,false
305,Alford,Male,urban,797696,7.0,illiterate,40,false
306,Jazmin,Female,urban,858905,6.8,Graduate,39,true
307,Gherardo,Male,urban,196162,0.9,Graduate,57,true
308,Baryram,Male,rural,927892,8.0,illiterate,14,true
309,Janeva,Female,urban,533008,2.8,High school,66,false
310,Kim,Male,urban,833233,7.7,High school,3,true
311,Meredeth,Male,rural,893701,0.3,High school,69,false
312,Chaunce,Non-binary,urban,38684,3.0,illiterate,15,true
313,Celinka,Female,urban,544987,6.1,illiterate,77,true
314,Fitz,Male,rural,775252,4.5,illiterate,52,false
315,Morton,Male,rural,914585,8.3,Graduate,1,false
316,Rhetta,Female,rural,180363,10.0,Graduate,53,true
317,Nels,Male,rural,143448,4.9,High school,41,true
318,Kennie,Male,urban,667562,9.6,Graduate,12,true
319,Rosemaria,Non-binary,urban,883778,0.9,Graduate,11,true
320,Shelba,Female,rural,434130,7.1,High school,62,false
321,Cris,Male,rural,571627,4.4,illiterate,6,false
322,Gretta,Female,urban,117089,9.1,Graduate,49,true
323,Judd,Male,rural,549819,9.4,Graduate,73,false
324,Ignazio,Male,urban,792267,6.7,Graduate,11,true
325,Timmie,Female,rural,912056,1.3,High school,56,true
326,Danice,Female,rural,798617,4.5,High school,36,true
327,Karisa,Female,rural,840337,9.9,illiterate,75,true
328,Hedvig,Female,urban,565328,6.1,illiterate,33,true
329,Matilde,Female,rural,296206,3.9,High school,60,false
330,Cathi,Female,urban,599803,3.1,High school,23,true
331,Far,Male,rural,384610,7.1,Graduate,0,true
332,Lannie,Genderfluid,rural,169757,5.3,illiterate,63,false
333,Judye,Female,rural,12130,7.2,Graduate,7,false
334,Jasmina,Female,rural,96391,2.1,Graduate,18,false
335,Deva,Female,rural,792694,4.2,illiterate,93,true
336,Morena,Female,rural,143485,4.0,High school,45,false
337,Yanaton,Male,rural,657126,2.7,High school,58,true
338,Estevan,Male,urban,768167,3.9,High school,4,true
339,Lemuel,Male,urban,375512,8.5,Graduate,12,true
340,Dudley,Agender,urban,925802,0.1,Graduate,42,false
341,Nydia,Female,rural,963716,1.7,illiterate,67,true
342,Othello,Male,urban,630395,9.3,Graduate,42,true
343,Ellie,Female,rural,803330,6.8,High school,30,false
344,Selia,Female,urban,349574,0.2,illiterate,98,false
345,Lark,Female,urban,34447,1.4,illiterate,5,false
346,Graeme,Genderqueer,rural,962616,1.6,illiterate,72,false
347,Bil,Male,urban,379420,6.9,High school,41,true
348,Fitz,Male,urban,796824,7.5,illiterate,11,true
349,Arley,Male,rural,61067,4.8,illiterate,86,false
350,Dreddy,Female,urban,677099,8.0,High school,50,false
351,Dareen,Female,urban,549326,0.9,illiterate,48,true
352,Alexia,Female,urban,188307,8.1,High school,98,false
353,Aili,Genderfluid,urban,737038,3.1,High school,26,true
354,Lynde,Female,rural,648791,6.9,illiterate,49,false
355,Miltie,Male,rural,142296,1.2,Graduate,15,false
356,Alverta,Agender,urban,273535,0.8,High school,41,false
357,Carissa,Female,rural,642096,8.8,High school,7,true
358,Renelle,Female,rural,124780,4.7,High school,41,true
359,Jacklin,Female,urban,707335,9.3,Graduate,47,true
360,Roberto,Male,rural,820075,1.0,High school,41,true
361,Jobina,Female,rural,421807,9.4,High school,84,false
362,Dean,Non-binary,urban,177900,0.5,Graduate,9,true
363,Keefer,Non-binary,urban,511355,3.7,High school,5,true
364,Nathaniel,Non-binary,rural,455063,6.7,High school,25,true
365,Humbert,Male,rural,154517,4.1,Graduate,95,true
366,Sherwin,Male,urban,280445,2.6,Graduate,99,false
367,Edan,Male,rural,767088,3.7,High school,42,false
368,Kaitlynn,Female,rural,949715,8.4,Graduate,39,false
369,Anni,Female,urban,341570,0.9,illiterate,91,true
370,Octavius,Male,urban,773834,5.0,illiterate,24,false
371,Collette,Female,urban,179324,6.5,High school,64,true
372,Lana,Female,urban,271848,5.6,Graduate,75,false
373,Chad,Female,urban,972559,0.1,High school,45,true
374,Gabe,Male,rural,775174,8.4,illiterate,57,true
375,Ruperta,Female,rural,558087,2.7,Graduate,22,false
376,Hilton,Male,urban,490365,5.9,High school,63,false
377,Alain,Male,rural,923950,2.6,High school,13,false
378,Chen,Male,urban,117120,6.3,Graduate,44,false
379,Lexy,Female,rural,451410,5.0,Graduate,73,true
380,Neile,Female,urban,460275,3.9,Graduate,39,false
381,Gabi,Male,urban,910163,3.1,illiterate,18,true
382,Inness,Male,rural,76762,4.4,High school,65,false
383,Page,Polygender,urban,609658,7.2,Graduate,81,false
384,Hillery,Male,rural,702717,2.9,illiterate,35,true
385,Melamie,Female,rural,210152,1.1,High school,34,true
386,Berkie,Male,urban,455166,9.1,illiterate,50,false
387,Elwira,Female,rural,177604,6.9,High school,85,false
388,Gaven,Male,urban,212702,0.0,Graduate,90,true
389,Donnajean,Female,urban,563006,7.5,Graduate,23,true
390,Anselma,Female,rural,854687,0.1,illiterate,11,false
391,Wells,Male,rural,865627,4.0,Graduate,77,false
392,Thomas,Male,urban,138954,9.4,High school,93,false
393,Frazer,Male,rural,183065,6.7,Graduate,51,true
394,Rana,Polygender,urban,443391,7.2,High school,94,true
395,Daphna,Female,rural,450729,0.8,Graduate,89,true
396,Abie,Male,rural,930049,7.1,illiterate,3,false
397,Emelita,Female,rural,967982,1.0,Graduate,78,false
398,Myra,Female,rural,883475,3.0,High school,90,true
399,Colene,Female,urban,848092,5.5,High school,42,false
400,Yoko,Female,urban,388097,6.7,High school,48,false
401,Wilfred,Male,urban,20862,10.0,Graduate,79,false
402,Gayelord,Male,rural,684873,3.7,illiterate,42,false
403,Maye,Genderqueer,urban,409814,8.7,High school,12,false
404,Nicolina,Female,urban,539514,5.4,High school,19,false
405,Chen,Male,rural,57330,4.1,Graduate,32,false
406,Ambrosi,Male,urban,174841,1.6,illiterate,54,false
407,Brander,Non-binary,urban,972324,5.7,High school,73,false
408,Mickey,Male,urban,97244,0.7,illiterate,87,true
409,Sonya,Female,rural,870489,1.7,Graduate,46,false
410,Philbert,Male,rural,596855,8.7,High school,51,false
411,Spike,Non-binary,urban,323432,8.4,High school,89,false
412,Olly,Male,rural,151559,7.6,Graduate,72,false
413,Giff,Male,rural,997988,4.4,illiterate,84,false
414,Benni,Female,urban,131150,4.2,Graduate,5,false
415,Marielle,Female,urban,595891,8.7,Graduate,26,false
416,Guthry,Male,rural,582242,8.5,illiterate,44,false
417,Lanae,Female,urban,163125,3.4,illiterate,59,false
418,Vernen,Male,rural,384869,3.6,Graduate,19,false
419,Grover,Male,rural,850607,2.0,illiterate,65,false
420,Amory,Male,rural,995989,1.1,High school,74,false
421,Carree,Female,urban,253060,0.6,High school,83,true
422,Hamnet,Non-binary,rural,419540,2.4,Graduate,89,true
423,Cheslie,Female,rural,407760,7.1,Graduate,50,true
424,Madison,Male,urban,877578,5.5,High school,16,true
425,Rayshell,Female,rural,646531,1.9,illiterate,95,false
426,Worden,Male,rural,306938,1.4,High school,15,true
427,Rancell,Polygender,urban,350325,9.0,Graduate,92,false
428,Mellisa,Non-binary,urban,942489,5.3,High school,5,true
429,Barnard,Non-binary,rural,145275,7.4,illiterate,15,false
430,Jehu,Male,urban,978003,6.9,illiterate,71,false
431,Elisabeth,Female,rural,564312,8.4,High school,77,false
432,Lorin,Male,urban,940066,3.3,illiterate,98,false
433,Mag,Female,rural,917553,5.5,Graduate,3,true
434,Foss,Male,rural,548737,3.6,Graduate,38,false
435,Wolfgang,Male,rural,748882,1.1,High school,37,true
436,Goddard,Male,urban,49668,7.6,Graduate,23,false
437,Christa,Female,urban,381664,4.8,High school,39,false
438,Yoshiko,Female,urban,681466,3.0,High school,4,false
439,Jo,Female,urban,339763,5.2,High school,22,false
440,Agnella,Female,rural,699264,1.2,High school,85,true
441,Trev,Male,rural,455137,1.7,Graduate,33,false
442,Eleonora,Female,urban,889055,2.3,illiterate,10,true
443,Marlow,Male,rural,238834,8.2,High school,34,true
444,Normie,Male,urban,325000,4.7,Graduate,34,false
445,Andres,Male,urban,716418,7.8,High school,9,true
446,Merrielle,Female,urban,600525,7.6,illiterate,43,true
447,Frederik,Male,rural,525459,5.9,illiterate,51,true
448,Brennen,Male,urban,300686,6.1,High school,88,true
449,Saudra,Female,rural,609657,5.3,Graduate,26,true
450,Gratia,Female,urban,397333,4.4,illiterate,74,true
451,Hershel,Male,urban,844699,0.9,High school,76,true
452,Thane,Agender,rural,331387,4.7,Graduate,61,false
453,Ethelind,Polygender,rural,895482,2.1,High school,92,false
454,Brandie,Female,urban,863263,6.5,illiterate,16,false
455,Ozzie,Male,urban,120445,7.8,illiterate,81,false
456,Byrle,Male,rural,168261,0.4,Graduate,73,true
457,Conan,Male,urban,605876,4.1,illiterate,56,true
458,Mallory,Male,rural,737071,0.1,Graduate,19,false
459,Evyn,Male,rural,76958,8.5,illiterate,47,false
460,Melosa,Female,urban,868093,4.9,High school,69,false
461,Candice,Female,urban,589522,3.5,High school,36,true
462,Tarah,Female,urban,273179,2.0,High school,75,true
463,Laurent,Male,rural,950701,3.0,Graduate,72,false
464,Aron,Male,urban,620585,6.6,High school,77,false
465,Olivette,Female,urban,61222,4.6,High school,30,true
466,Orren,Male,urban,653680,1.9,High school,77,true
467,Catherine,Female,rural,139714,0.6,High school,35,true
468,Brannon,Male,rural,34802,2.8,illiterate,17,false
469,Leeann,Female,urban,507239,9.5,illiterate,56,true
470,Simmonds,Male,urban,66313,5.4,High school,88,true
471,Wolfy,Genderqueer,urban,118492,0.8,illiterate,40,false
472,Addy,Female,rural,395544,9.2,High school,32,false
473,Roma,Male,urban,333905,2.0,High school,22,false
474,Rance,Male,rural,805754,7.1,illiterate,99,false
475,Bertram,Male,urban,965583,9.7,High school,90,false
476,Lexi,Female,rural,509140,7.6,illiterate,82,false
477,Hussein,Male,rural,711390,6.4,illiterate,87,false
478,Averell,Male,rural,56739,8.9,illiterate,66,false
479,Millie,Female,rural,359226,7.1,High school,45,true
480,Chick,Male,urban,546110,0.8,Graduate,16,false
481,Juieta,Female,urban,499179,6.8,illiterate,47,false
482,Mercedes,Female,urban,997944,6.0,illiterate,34,true
483,Mathias,Male,rural,85410,3.8,illiterate,47,false
484,Eric,Male,urban,624808,3.3,High school,62,false
485,Dyann,Polygender,rural,734692,2.7,Graduate,2,true
486,Travis,Male,urban,449635,0.7,Graduate,49,true
487,Marketa,Female,urban,270483,7.3,Graduate,83,true
488,Clemens,Male,rural,825718,9.0,illiterate,26,false
